character_name,group,subgroup
Carol D.,Lumon Industries,Macrodata Refinement
Dario R.,Lumon Industries,Macrodata Refinement
Dylan G.,Lumon Industries,Macrodata Refinement
Gwendolyn Y.,Lumon Industries,Macrodata Refinement
Helly R.,Lumon Industries,Macrodata Refinement
Irving B.,Lumon Industries,Macrodata Refinement
Mark S.,Lumon Industries,Macrodata Refinement
Mark W.,Lumon Industries,Macrodata Refinement
Peggy K.,Lumon Industries,Macrodata Refinement
Peter K.,Lumon Industries,Macrodata Refinement
Alice K.,Lumon Industries,Optics & Design
Burt G.,Lumon Industries,Optics & Design
Elizabeth,Lumon Industries,Optics & Design
Felicia,Lumon Industries,Optics & Design
Oswald,Lumon Industries,Optics & Design
Goat Man,Lumon Industries,Mammalians Nurturable
Lorne,Lumon Industries,Mammalians Nurturable
Wyatt,Lumon Industries,Mammalians Nurturable
Bukayo,Lumon Industries,Choreography & Merriment
Ms. Casey,Lumon Industries,Wellness
Doug Graner,Lumon Industries,Administration
Eustice Huang,Lumon Industries,Administration
Harmony Cobel,Lumon Industries,Administration
Mr. Alvarado,Lumon Industries,Administration
Mr. Dooley,Lumon Industries,Administration
Mr. Drummond,Lumon Industries,Administration
Natalie Kalen,Lumon Industries,Administration
Seth Milchick,Lumon Industries,Administration
The Board,Lumon Industries,Administration
Ambrose Eagan,Lumon Industries,Eagan Family
Baird Eagan,Lumon Industries,Eagan Family
Dieter Eagan,Lumon Industries,Eagan Family
Eagan Family,Lumon Industries,Eagan Family
Gerhardt Eagan,Lumon Industries,Eagan Family
Gunnel Eagan,Lumon Industries,Eagan Family
Helena Eagan,Lumon Industries,Eagan Family
Imogene Eagan,Lumon Industries,Eagan Family
Jame Eagan,Lumon Industries,Eagan Family
Kier Eagan,Lumon Industries,Eagan Family
Leonora Eagan,Lumon Industries,Eagan Family
Myrtle Eagan,Lumon Industries,Eagan Family
Phillip “Pip” Eagan,Lumon Industries,Eagan Family
Animated Lumon Administrative Building,Lumon Industries,Lumon Mascots
Animated Water Tower,Lumon Industries,Lumon Mascots
Sevy,Lumon Industries,Lumon Mascots
The Four Tempers (dancers),Lumon Industries,Lumon Mascots
Shadow Dylan,Lumon Industries,Shadows
Shadow Helly,Lumon Industries,Shadows
Shadow Irving,Lumon Industries,Shadows
Shadow Mark,Lumon Industries,Shadows
Dylan Watcher,Lumon Industries,Watchers
Helly Watcher,Lumon Industries,Watchers
Irving Watcher,Lumon Industries,Watchers
Mark Watcher,Lumon Industries,Watchers
Asal Reghabi,Lumon Industries,Other Lumon Employees
Cecily,Lumon Industries,Other Lumon Employees
Dr. Mauer,Lumon Industries,Other Lumon Employees
Dutina Ellerman,Lumon Industries,Other Lumon Employees
Event Coordinator,Lumon Industries,Other Lumon Employees
Florence,Lumon Industries,Other Lumon Employees
Gate Guard,Lumon Industries,Other Lumon Employees
Helena Eagan's Driver,Lumon Industries,Other Lumon Employees
Judd,Lumon Industries,Other Lumon Employees
Lawrence,Lumon Industries,Other Lumon Employees
