timestamp,speaker,text
00:00:10,Mark,"Petey, are you okay?"
00:00:17,Mark,Petey?
00:00:19,Petey,"Yeah, I’m good. I just slipped. You should invest in a bath mat, maybe."
00:00:25,Mark,"Yeah, okay. The robe is a gift from my brother-in-law. I’ve never worn it or anything. Sorry, it’s weird."
00:00:34,Mark,I have pillows. Do you need anything else?
00:00:37,Petey,"Yeah, I want you to stop shitting on this awesome robe."
00:00:41,Mark,"Well, you can keep it."
00:00:43,Petey,I will.
00:00:44,Petey,Hey. Are you sure nobody can see in any of these transoms?
00:00:49,Mark,Yeah. And everything’s locked upstairs.
00:00:53,Petey,Anybody live in that unit next door?
00:00:56,Mark,"No, it’s just Mrs. Selvig in the other direction. The neighborhood never really filled up, so it’s nice. Quiet."
00:01:06,Petey,Fortress of solitude.
00:01:08,Irving,"I still think an occasional mixer wouldn’t hurt anything. I checked, and it’s not expressly prohibited in the manual."
00:01:15,Petey,"Yeah, I bet! Dude, I pressed Cobel for an all-floor mixer last quarter. She said you’ll get one when you earn it, whatever that means."
00:01:22,Mark,"Cobel?
Petey: I can’t imagine Dylan’s 4% on Sunset Park’s gonna help with—"
00:01:28,Mark,Petey? You okay?
00:01:35,Petey,I’m sorry. Yeah. I just— I get disoriented. It’s temporary.
00:01:47,Mark,What’s Sunset Park?
00:01:52,Petey,I don’t know.
00:04:13,Petey,"It’s like having two different lives suddenly stitched together. But the relativity’s fucked. So, my first day at Lumon’s as far back as my fifth birthday."
00:04:23,Petey,"And with two pasts, it blurs the present too. But they said it will get better."
00:04:33,Mark,Who’s “they”?
00:04:37,Petey,“They” is a group of people that know severance is a blight on mankind. And they’re gonna do something about it.
00:04:45,Mark,The Whole Mind Collective?
00:04:47,Petey,"The kids trolling for signatures downtown? No, not the fucking WMC. Someone else."
00:04:55,Mark,"All right. Well— So, what do you want from me?"
00:05:05,Petey,Don’t you wanna know what you’re doing down there?
00:05:12,Mark,"Okay, look. You know, I’m not gonna unsever."
00:05:16,Petey,"Well, I don’t want you to unsever because that’s not a word."
