speaker_label,canonical_character_name,include_in_character_analysis,notes
Mark,Mark Scout,true,
Mark S,Mark Scout,true,
Innie Mark,Mark Scout,true,
Outie Mark,Mark Scout,true,
Mark (voiceover),Mark Scout,true,
Mark (on tape),Mark Scout,true,
Helly,Helly R.,true,
Helly R,Helly R.,true,
Helly (on video),Helly R.,true,
Milchick,Seth Milchick,true,
Milchick (on tape),Seth Milchick,true,
Milchick (voicemail),Seth Milchick,true,
Irving,Irving B.,true,
Irving B,Irving B.,true,
Dylan,Dylan G.,true,
Dylan G,Dylan G.,true,
Devon,Devon Scout-Hale,true,
Cobel,Harmony Cobel,true,
Harmony,Harmony Cobel,true,
Burt,Burt G.,true,
Ricken,Ricken Hale,true,
Ricken (voiceover),Ricken Hale,true,
Ricken (voicemail),Ricken Hale,true,
Reghabi,Asal Reghabi,true,
Gemma,Gemma Scout,true,
Ms. Casey,Ms. Casey,true,
Natalie,Natalie Kalen,true,
Petey,Peter Kilmer,true,
Petey (singing),Peter Kilmer,true,
Alexa,Alexa,true,
Gretchen,Gretchen George,true,
Drummond,Mr. Drummond,true,
Graner,Doug Graner,true,
Hampton,Hampton,true,
Helena,Helena Eagan,true,
Mauer,Dr. Mauer,true,
Dr. Mauer,Dr. Mauer,true,
Miss Huang,Eustice Huang,true,
Ms. Huang,Eustice Huang,true,
Sissy,"Celestine ""Sissy"" Cobel",true,nickname for Celestine Cobel
Lorne,Lorne,true,
Mr. Saliba,Mr. Saliba,true,
Fields,Fields,true,
Patton,Patton Thune,true,
Mark W,Mark W.,true,
Felicia,Felicia,true,
Jame,Jame Eagan,true,
Danise,Danise,true,
June,June Kilmer,true,
June (singing),June Kilmer,true,
Gabby,Gabby Arteta,true,
Rebeck,Rebeck Gulk,true,
Angelo,Angelo Arteta,true,
Gwendolyn Y,Gwendolyn Y.,true,
Judd,Judd,true,
Dario R,Dario R.,true,
Cecily,Cecily,true,
WMC Activist 1,WMC Activist 1,true,
WMC Activist 2,WMC Activist 2,true,
Steven,Steven,true,
Animatronic Kier,Kier Eagan,true,exhibit voice for Kier Eagan
Nina,Nina,true,
Myrtle Eagan (recording),Myrtle Eagan,true,
Event Coordinator,Event Coordinator,true,
Dylan's son,Merrick George,true,mapped to Merrick George
Dylan’s son,Merrick George,true,mapped to Merrick George
Magnus,Magnus,true,
Merrick,Merrick George,true,
Kier,Kier Eagan,true,
Kier Eagan (recording),Kier Eagan,true,
Florence,Florence,true,
Elizabeth,Elizabeth,true,
Nurse,,false,
Music Cue,,false,non dialogue cue
Music Cue (cont.),,false,non dialogue cue
Lead Singer (singing),,false,
Kier and Irving,,false,combined speaker label
Refiners,,false,group speaker label
Goat Wrangler,,false,
Television,,false,
Television (voice),,false,
Lumon Building,,false,
Cop 1 (voice),,false,
Cop 2 (voice),,false,
Cop 3 (voice),,false,
Cop 4 (voice),,false,
MAN ON SIDEWALK,,false,
Eulogist,,false,
Weather Channel (voice),Weather Channel Announcer,true,
BYSTANDER (voice),,false,
Valet,,false,
Guy at Venue,Guy at Venue,true,
Mark (singing),Mark Scout,true,
Guard,Gate Guard,true,
Goat Man,Goat Man,true,
Marching Band,,false,
Bukayo,Bukayo,true,
Jame Eagan,Jame Eagan,true,
Doctor,,false,
Bartender,Bartender,true,
Checkout Girl,Checkout Girl,true,
Balf,Balf,true,
Cobel (singing),Harmony Cobel,true,
Waiter,Waiter,true,
Lead Singer,,false,
Mark & Alexa (singing),,false,combined speaker label
O&D designers (chanting),,false,group speaker label
Kier Eagan,Kier Eagan,true,
The Board,The Board,true,
Receptionist,,false,
Rose,Rose,true,
Dot,Dot,true,
Ticket Clerk,,false,
Irving B (voice),Irving B.,true,
Mark S (voice),Mark S.,true,
Water Tower,Animated Water Tower,true,animated water tower label
Jim,Jim George,true,
Helly and Dylan,,false,combined speaker label
Wyatt,Wyatt,true,
Children,,false,
Camera Woman,,false,
Lumon Security Officer,Lumon Security Guard #1,true,mapped to security guard
Baby Goat,,false,
Ms Huang,Eustice Huang,true,
138,,false,malformed speaker label
