season,episode,timestamp,speaker,text,before_colon
1,1,00:32:20,Mark,"You’ll leave at 5:00. Well, actually, they stagger our exits, so 5:15. But it won’t feel like it. Not to this version of you anyway.",You’ll leave at 5
1,1,00:41:59,Danise,"and then suddenly it’s 5:00, and you’re leaving?",and then suddenly it’s 5
1,2,00:09:14,Helly,So it’s 09:05?,So it’s 09
1,2,00:26:52,Mark,"We do.
WMC Activist 1: Great!",WMC Activist 1
1,2,00:27:19,Mark,"Hey, man. Forced labor?
WMC Activist 1: …then that’s up to you.",WMC Activist 1
1,2,00:27:23,Alexa,"Hey!
WMC Activist 1: Yeah.",WMC Activist 1
1,2,00:27:24,Mark,"Forced labor? Okay.
WMC Activist 1: Really.",WMC Activist 1
1,3,00:10:42,Mark,Okay. Why don’t you grab whatever you want up in the fridge? I should be back around 6:00.,I should be back around 6
1,3,00:23:57,Milchick,“Chapter 12: On Learning to Be Emotionally Nude in Front of My Wife.”,“Chapter 12
1,3,00:36:58,Irving,"It’s okay if you cry.
Myrtle Eagan (recording): When I was a girl, my father would make me whisper…",Myrtle Eagan (recording)
1,3,00:37:16,Irving,"Isn’t that lovely?
Myrtle Eagan (recording): Wit.",Myrtle Eagan (recording)
1,3,00:37:17,Helly,"It’s beautiful.
Myrtle Eagan (recording): Cheer.",Myrtle Eagan (recording)
1,3,00:53:51,Cop 3 (voice),"Is he breathing?
Cop 1 (voice): No, he’s not breathing, man.",Cop 1 (voice)
1,3,00:53:56,Cop 2 (voice),"You okay? You okay?
Cop 3 (voice): Get him on the board.",Cop 3 (voice)
1,4,00:08:46,Irving,Nonsense. I’ll be back by 1:00.,I’ll be back by 1
1,4,00:32:54,Petey (singing),"In your closet, in your head.June (singing):In your head.",June (singing)
1,4,00:39:59,Burt,"The original word of Kier: “And I shall whisper to ye dutiful through the ages. In your noblest thoughts and epiphanies shall be my voice. You are my mouth, and through ye, I will whisper on when I am 10 centuries demised.”",The original word of Kier
1,5,00:36:44,Helly,"Oh, we don’t…
Goat Wrangler: Get the hell out of here.",Goat Wrangler
1,6,00:28:10,Milchick,"That’s fine too.
Dylan’s son: Daddy.",Dylan’s son
1,8,00:28:54,Mark,"But, my…”
Dylan: “But, my friends, the hour is yours.”","”
Dylan"
1,8,00:40:06,Ricken,"Excuse me.
Mark & Devon: Okay.",Mark & Devon
1,9,00:00:18,Cobel,"I said, “Are you all right?”
Mark: Yeah, I’m fine.","”
Mark"
1,9,00:11:45,Ricken,"“consider the power an author…”
Cobel: Mark.","”
Cobel"
1,9,00:11:52,Ricken,"“…can hold over a reader…”
Mark: Sure.","”
Mark"
2,3,00:09:29,Milchick,"They were in the–
Natalie: I've got the Board.","They were in the–
Natalie"
2,3,00:26:24,Felicia,"If we see her–
Irving: Not her. It's a…","If we see her–
Irving"
2,3,00:51:11,Mark,"Mystic–
Reghabi: That's wrong.","Mystic–
Reghabi"
2,7,00:01:17,Mark,"Me? Well… It's… Oh, yeah, this is a real treat. “All Quiet on the Western Blunt: Drug Use by Enlisted Soldiers during World War I.”",“All Quiet on the Western Blunt
2,7,00:13:11,Gemma,It was. I'm sorry. I have a lecture at 3:00 on Hadji Murad and my notes are all over the place.,I have a lecture at 3
2,10,00:31:18,Dylan,"“Dear innie, I've read your request and organized my response into three points. Point one: fuck you. Gretchen is my wife and my beloved, and your actions with her were deeply fucking indecorous. Point two: I get it. She's perfect, and given our shared physiology, it tracks that you'd agree. Here's the thing. I've never been an impressive person, so when Gretch told me that you're, like, this self-assured badass, I don't know. Uh, it stung. So I guess, point three is: I hope someday she sees in me what she sees in you. In the meantime… if I'm being really honest, I guess I like knowing you're there. So if you wanna leave, you can. But I think you should stay. Sincerest regards, Your outie.”",Point one
