season,episode,timestamp,speaker,text,before_colon
1,1,00:03:39,Helly,"Wait.
Mark: Which state or territory, please?",Mark
1,1,00:03:42,Helly,"I don’t know.
Mark: Unknown.",Mark
1,1,00:03:48,Helly,"Fuck. I…
Mark: First that comes to mind.",Mark
1,1,00:03:49,Helly,"I don’t know. Delaware. What is this?
Mark: Delaware.",Mark
1,1,00:08:44,Judd,"All right, see you this evening.
Mark: Yep, see you soon.",Mark
1,1,00:11:16,Dylan,"You’re breathing shitty.
Mark: Sorry.",Mark
1,1,00:12:00,Mark,"Eight.
Dylan: Eight reasons.",Dylan
1,1,00:12:12,Irving,"No Petey?
Mark: We think he’s sick.",Mark
1,1,00:16:17,Milchick,"If you need to take a few minutes…
Mark: Thank you. I don’t.",Mark
1,1,00:17:53,Irving,"All right.
Mark: Okay.",Mark
1,1,00:18:26,Irving,"Mark.
Mark: What?",Mark
1,1,00:18:42,Irving,"That’s it.
Mark: Okay.",Mark
1,1,00:19:37,Helly,"Open the door!
Irving: She’s not supposed to do that.",Irving
1,1,00:19:43,Helly,"Let me out!
Mark: No, she’s not.",Mark
1,1,00:20:10,Helly,"What?
Mark: Well, there was a preamble, which I was supposed to read before the survey, to lead into the questions and… But I unfortunately skipped that and went straight into the survey.",Mark
1,1,00:20:38,Helly,"I don’t know.
Mark:  did your nails and…",Mark
1,1,00:22:04,Helly,"Let me out!
Mark:  God!",Mark
1,1,00:24:07,Mark,"Ask me again.
Helly: What?",Helly
1,1,00:24:16,Helly,"Mark.
Mark:  Yeah?",Mark
1,1,00:27:21,Helly,"Am I dead?
Mark: No.",Mark
1,1,00:27:24,Helly,"This isn’t, like, hell or something?
Mark: No.",Mark
1,1,00:27:35,Helly,"I did not.
Mark: You did. Come on.",Mark
1,1,00:29:18,Mark,"Well…
Cobel: Yes!",Cobel
1,1,00:37:25,Devon,"Hey.
Mark: Hey.",Mark
1,1,00:37:40,Mark,"Sorry.
Devon: That’s fine.",Devon
1,1,00:37:41,Devon,"Do you wanna put on pants, and I’ll…
Mark: I’m wearing pants.",Mark
1,1,00:37:51,Devon,"Okay.
Mark: Like…",Mark
1,1,00:37:55,Mark,"Do I?
Devon: Yep.",Devon
1,1,00:38:46,Mark,"Hi, Rick.
Ricken: Ricken. Come on, it’s Ricken.",Ricken
1,1,00:38:50,Ricken,"You, sir, look at peace.
Mark: You know.",Mark
1,1,00:38:53,Mark,"Okay.
Devon: Hi, baby.",Devon
1,1,00:39:00,Danise,"Right.
Patton: You’ve got life,",Patton
1,1,00:39:09,Ricken,"Yes, what is it?
Patton: Fuel.",Patton
1,1,00:39:13,Ricken,"Yes, that is spot on, Patton.
Rebeck: I definitely agree.",Rebeck
1,1,00:39:24,Mark,"True.
Devon: It was low-hanging fruit.",Devon
1,1,00:40:21,Danise,"Wow.
Ricken: Of course.",Ricken
1,1,00:40:23,Patton,"That’s absolutely right.
Ricken: Duh.",Ricken
1,1,00:40:32,Rebeck,"I love literature.
Ricken: Right?",Ricken
