season,episode,timestamp,speaker,text
1,1,00:00:14,Mark,Who are you?
1,1,00:00:26,Mark,Who are you?
1,1,00:00:49,Helly,Hello?
1,1,00:00:58,Mark,"I’m sorry, I got ahead of myself."
1,1,00:01:02,Mark,"Hi there, you on the table. I wonder if you’d mind taking a brief survey."
1,1,00:01:07,Helly,Who is that?
1,1,00:01:09,Mark,Five questions.
1,1,00:01:10,Mark,"Now, I know you’re sleepy, but I just bet it’ll make you feel right as rain."
1,1,00:01:16,Helly,Who’s speaking?
1,1,00:01:27,Helly,"Oh, God."
1,1,00:01:37,Helly,Hey! Open the door!
1,1,00:01:47,Mark,I’d be just thrilled to chat once we’ve run the survey. Shall we begin with question one?
1,1,00:01:54,Helly,I’m not taking your survey.
1,1,00:01:57,Mark,Shall we begin with question one?
1,1,00:02:02,Helly,Let me out of here.
1,1,00:02:08,Helly,Hey!
1,1,00:02:10,Helly,Open the door!
1,1,00:02:13,Helly,Fuck.
1,1,00:02:15,Helly,Hey! Let me out!
1,1,00:02:41,Helly,Hey.
1,1,00:02:44,Mark,Hello.
1,1,00:02:46,Helly,Five questions?
1,1,00:02:48,Mark,Five questions.
1,1,00:02:51,Helly,What do I get at the end?
1,1,00:02:54,Mark,Depends on your answers.
1,1,00:02:59,Helly,Okay.
1,1,00:03:01,Mark,"Great. Off we go. Now to start, who are you?"
1,1,00:03:06,Helly,That’s the first question?
1,1,00:03:09,Mark,First name will do.
1,1,00:03:24,Helly,I don’t…
1,1,00:03:26,Mark,"It’s okay. If you can’t answer the question, feel free to say, “unknown.”"
1,1,00:03:32,Helly,What is this?
1,1,00:03:34,Mark,"Okay, unknown."
1,1,00:03:35,Mark,"Question two, in which US state or territory were you born?"
1,1,00:03:39,Helly,"Wait.
Mark: Which state or territory, please?"
1,1,00:03:42,Helly,"I don’t know.
Mark: Unknown."
1,1,00:03:44,Mark,"Question three, please name any US state or territory."
1,1,00:03:48,Helly,"Fuck. I…
Mark: First that comes to mind."
1,1,00:03:49,Helly,"I don’t know. Delaware. What is this?
Mark: Delaware."
1,1,00:03:52,Mark,"Question four, what is Mr. Eagan’s favorite breakfast?"
1,1,00:03:57,Helly,I don’t… That one makes no sense.
1,1,00:03:58,Mark,"Right? Unknown. Question five. And as a reminder, this is the final question. To the best of your memory, what is or was the color of your mother’s eyes?"
1,1,00:04:27,Helly,"Okay, what’s hap… What’s happening?"
1,1,00:04:29,Mark,"Unknown. So that’s unknown, unknown, Delaware, unknown, unknown."
1,1,00:04:38,Helly,What the hell did you do to me?
1,1,00:04:51,Mark,That’s a perfect score.
1,1,00:06:49,Florence,Are you ready for Mr. Scout?
1,1,00:07:00,Florence,Thank you.
1,1,00:07:05,Florence,Go ahead.
1,1,00:08:31,Judd,Mr. Scout.
1,1,00:08:33,Mark,"Hi, Judd."
1,1,00:08:44,Judd,"All right, see you this evening.
Mark: Yep, see you soon."
1,1,00:11:16,Dylan,"You’re breathing shitty.
Mark: Sorry."
1,1,00:11:17,Dylan,You sick?
1,1,00:11:19,Mark,Maybe. Petey was sniffling yesterday.
1,1,00:11:21,Dylan,"If you breathe on me, I’ll rip your larynx out."
1,1,00:11:23,Mark,Wow. That went right to ten. I feel like ripping out my germ-ridden larynx would get you sicker than just me breathing on you.
1,1,00:11:33,Mark,Oh.
1,1,00:11:35,Dylan,"Petey better not be out for the day, ’cause I’m about zero seconds from wrapping the Tumwater file, and he needs to process it."
1,1,00:11:40,Mark,I think he’s out.
1,1,00:11:43,Dylan,"If he doesn’t process today, they won’t know until Tuesday of next week. It’s typical Lumon bullshit."
1,1,00:11:47,Mark,"Careful, guy."
1,1,00:11:50,Irving,"Hi, kids. What’s for dinner?"
1,1,00:11:52,Dylan,"Goddamn it, Irv. We warned you."
1,1,00:11:54,Irving,About the greeting? You were kidding.
1,1,00:11:55,Dylan,"No, we sincerely hate it. How many reasons did we come up with?"
1,1,00:12:00,Mark,"Eight.
Dylan: Eight reasons."
1,1,00:12:02,Dylan,Chief among them the latent condescension.
1,1,00:12:05,Mark,"And it’s confusing. Like, did the kids make you dinner in this scenario? Or…"
1,1,00:12:08,Dylan,Yeah. What kind of a shit dad are you?
1,1,00:12:12,Irving,"No Petey?
Mark: We think he’s sick."
1,1,00:12:14,Irving,"Oh, no. And Dylan’s about to wrap Tumwater today."
1,1,00:12:17,Dylan,"Yeah, and if he doesn’t see me finish, I might get passed over for refiner of the quarter and miss out on my goddamn waffle party."
1,1,00:12:23,Irving,"Grumble, grumble. These perks are so out of hand. When we’d process a file in the old days, they’d shake our hand and fill up the creamer."
1,1,00:12:30,Dylan,I still don’t buy they actually incentivized creamer.
1,1,00:12:32,Irving,"They did. And back then, we were grateful for it."
1,1,00:12:35,Dylan,"That’s fucked, dude."
1,1,00:12:37,Irving,"Yes, very fucked. To put in an honest day’s work and not get a children’s breakfast in return."
1,1,00:12:43,Dylan,Irv’s got claws today.
1,1,00:12:46,Milchick,"Good morning, Macrodata Refinement."
1,1,00:12:49,Irving,"Hi, Mr. Milchick."
1,1,00:12:51,Milchick,"Mark, could I have a word?"
1,1,00:13:23,Milchick,"Last time you saw Ms. Cobel, she was in her old office. Now she’s in her new office. It’s a completely different office."
1,1,00:13:31,Mark,What’s this about?
1,1,00:13:32,Milchick,"She’d never say so, but I know a compliment about the office would just make her day."
1,1,00:13:47,Cobel,Mark? Come in. Shut the thing.
1,1,00:13:51,Mark,Nice office.
1,1,00:13:52,Cobel,It’s horrid.
1,1,00:13:55,Mark,"Yeah, the old one was better."
1,1,00:14:04,Cobel,Oh… You look awful. You look hungover. Have a seat.
1,1,00:14:15,Cobel,The Board will be joining us remotely today.
1,1,00:14:20,Cobel,I have Mark S. at my desk.
1,1,00:14:32,Mark,"Oh, uh, hello. I assume this is about me acting as department chief today. Okay. Well… I mean, I’ve subbed for Petey before, so it shouldn’t be that big a thing."
1,1,00:14:47,Cobel,Petey is no longer with this company.
1,1,00:14:52,Mark,I’m sorry?
1,1,00:14:54,Cobel,"I said, Petey is no longer with this company."
1,1,00:14:59,Milchick,"I’m sorry, Mark. You guys were one of my favorite office friendships."
1,1,00:15:06,Mark,"I mean, there should have been some notice of this. What happened?"
1,1,00:15:10,Milchick,"We’d love to tell you, but unfortunately, non-disclosure policy forbids. We’d be aiding an assault on Petey’s privacy by you."
1,1,00:15:20,Cobel,"Mark, would you place your key card on my desk?"
1,1,00:15:29,Cobel,"Mark S., at this time I confer upon you the freedom to serve Kier in the advanced role of Macrodata Refinement department chief. Congratulations."
1,1,00:15:49,Cobel,"Oh, a handshake is available upon request."
1,1,00:15:58,Mark,Thank you. May I have a handshake?
1,1,00:16:07,Cobel,"I know you haven’t run a training before, but Irving will be there to shadow. Just stick to the flowchart and escalate properly depending on dialectics. You’ll be fine."
1,1,00:16:17,Milchick,"If you need to take a few minutes…
Mark: Thank you. I don’t."
1,1,00:16:23,Mark,"Oh, and, uh, thank you to the Board as well."
1,1,00:16:28,Cobel,The Board won’t be contributing to this meeting vocally.
1,1,00:16:43,Irving,"Our last refiner, who was a woman, was…"
1,1,00:16:46,Mark,Carol. Dylan’s old seat.
1,1,00:16:51,Irving,Don’t be sad.
1,1,00:16:52,Mark,I’m fine. We’ll be fine.
1,1,00:16:54,Irving,I know you and Petey were close. He was the only one who really appreciated your humor.
1,1,00:17:00,Mark,"Everything’s fine. So, I’m supposed to start with just the input survey? Isn’t that a little weird?"
1,1,00:17:05,Milchick,"It’s standard. Just start at 1A and continue by line, based on her answers."
1,1,00:17:10,Mark,"Well, what if I just talk to her?"
1,1,00:17:12,Milchick,She deserves to have the information presented to her in the proper order. Just as you had.
1,1,00:17:17,Mark,"“If the trainee becomes agitated and demands to leave, skip to page 19.”"
1,1,00:17:24,Irving,She has to ask three times for you to let her.
1,1,00:17:27,Mark,Right. Yes.
1,1,00:17:33,Mark,Image is good.
1,1,00:17:36,Irving,She looks nice.
1,1,00:17:39,Milchick,Okay. You’re all set.
1,1,00:17:44,Milchick,I just love seeing you all come in like this.
1,1,00:17:48,Milchick,Go on ahead when you’re ready.
1,1,00:17:53,Irving,"All right.
Mark: Okay."
1,1,00:18:02,Irving,There you go.
1,1,00:18:06,Mark,Who are you?
1,1,00:18:16,Irving,All right.
1,1,00:18:19,Mark,Who are you?
1,1,00:18:26,Irving,"Mark.
Mark: What?"
1,1,00:18:28,Irving,You skipped the preamble.
1,1,00:18:30,Helly,Hello?
1,1,00:18:31,Mark,Shit!
1,1,00:18:36,Mark,"I’m sorry, I got ahead of myself."
1,1,00:18:42,Irving,"That’s it.
Mark: Okay."
1,1,00:18:45,Mark,"Hi there, you on the table. I wonder if you’d mind taking a brief survey."
1,1,00:18:51,Helly,Who is that?
1,1,00:18:53,Mark,"Five questions. Now, I know you’re sleepy, but I just bet it’ll make you feel right as rain."
1,1,00:19:01,Helly,Who’s speaking?
1,1,00:19:02,Mark,“Who’s speaking?”
1,1,00:19:17,Helly,Hey! Open the door!
1,1,00:19:18,Irving,Mark.
1,1,00:19:20,Mark,"I’d be just thrilled to chat, once we’ve run the survey. Shall we begin with question one?"
1,1,00:19:24,Helly,I’m not taking your survey.
1,1,00:19:29,Mark,Shall we begin with question one?
1,1,00:19:32,Helly,Let me out of here. Hey!
1,1,00:19:37,Helly,"Open the door!
Irving: She’s not supposed to do that."
1,1,00:19:40,Helly,Hey!
1,1,00:19:41,Irving,She’s going to break in.
1,1,00:19:43,Helly,"Let me out!
Mark: No, she’s not."
1,1,00:19:46,Milchick,Are you seeing this?
1,1,00:19:48,Cobel,I’m watching.
1,1,00:19:51,Milchick,Should I help?
1,1,00:19:54,Cobel,You should not.
1,1,00:20:02,Mark,That’s a perfect score.
1,1,00:20:05,Mark,"Now, I think I know where our disconnect is coming from."
1,1,00:20:10,Helly,"What?
Mark: Well, there was a preamble, which I was supposed to read before the survey, to lead into the questions and… But I unfortunately skipped that and went straight into the survey."
1,1,00:20:22,Helly,Am I livestock?
1,1,00:20:24,Mark,I’m sorry?
1,1,00:20:26,Helly,"Like, did you grow me as food and that’s why I have no memories?"
1,1,00:20:33,Mark,"You think we grew a full human, gave you consciousness…"
1,1,00:20:38,Helly,"I don’t know.
Mark:  did your nails and…"
1,1,00:20:39,Helly,I don’t know. I don’t know you.
1,1,00:20:41,Mark,"No, you’re not livestock. Good Lord."
1,1,00:20:44,Helly,Then what’s my name?
1,1,00:20:47,Mark,Helly. Your name is Helly. Helly R.
1,1,00:20:52,Mark,Please.
1,1,00:21:08,Mark,"Thank you for taking the welcome survey. I can sense that the questions made you feel afraid or disoriented. Well, the good news is, you’re at an orientation."
1,1,00:21:25,Mark,"You see, you have been hired to a position on the Severed Floor of Lumon Industries."
1,1,00:21:31,Helly,The what floor?
1,1,00:21:44,Mark,"I understand you’re confused about the severance procedure. Before we hop on that, let’s chat about something I bet you have heard of, the work/life balance. To start, imagine yourself as a seesaw."
1,1,00:22:01,Mark,Ow! Fuck!
1,1,00:22:02,Mark,That locks from out there!
1,1,00:22:04,Helly,"Let me out!
Mark:  God!"
1,1,00:22:08,Mark,Can we just take a beat? Please.
1,1,00:22:24,Mark,Please.
1,1,00:22:47,Mark,"Okay, my name’s Mark. And, uh… So, I…"
1,1,00:22:53,Mark,"You know, few years back, I woke up on this table. In this room. And a disembodied voice asked me 19 times who I was."
1,1,00:23:07,Mark,"And when I realized I couldn’t answer, I told that voice that I would find him and kill him."
1,1,00:23:16,Mark,"I don’t know why I said that. I mean, I was scared too."
1,1,00:23:20,Helly,Did you kill the voice?
1,1,00:23:23,Mark,No.
1,1,00:23:25,Mark,"No, that voice’s name was Petey, and he became my best friend."
1,1,00:23:32,Mark,"So, look, you know, there is a life to be had here, Helly."
1,1,00:23:36,Helly,A life to be had?
1,1,00:23:47,Mark,"Well, you see, life, like a seesaw, requi—"
1,1,00:23:56,Helly,Let me the fuck out of here!
1,1,00:24:07,Mark,"Ask me again.
Helly: What?"
1,1,00:24:10,Mark,You’ve asked twice to be let go. Ask one more time.
1,1,00:24:16,Helly,"Mark.
Mark:  Yeah?"
1,1,00:24:18,Helly,I would like to leave the building now.
1,1,00:24:23,Mark,"I understand you don’t feel it’s working out for you here at Lumon. While disappointed, I’d hate to keep you somewhere you’re not happy. So, let’s get you outta here."
