timestamp,speaker,text
00:00:02,Helly,"I acknowledge that, henceforth, my access to my memories will be spatially dictated. I will be unable to access outside recollections whilst on Lumon’s severed basement floor, nor retain work memories upon my ascent. I am aware that this alteration is comprehensive and irreversible. I make these statements freely."
00:00:30,Milchick,"Okay, that’s a wrap. Come with me, please."
00:00:44,Milchick,"So, your work personage will be waking in a few hours on the severed floor. But the next time you yourself will be sentient will be this evening, in the elevator back up."
00:00:53,Helly,Okay.
00:00:54,Milchick,The elevator has a handrail at hip-level if you feel dizzy.
00:00:58,Milchick,"Oh, man. I love seeing the sunrise on his face."
00:01:06,Milchick,You know he used to drink three raw eggs in milk each morning?
00:01:09,Helly,I’ve heard.
00:01:10,Milchick,His favorite breakfast.
00:01:12,Milchick,We’ll get you prepped in here.
00:01:15,Milchick,"Good morning, Lawrence.
Lawrence: Good morning."
00:01:43,Helly,They say it doesn’t hurt.
00:01:50,Milchick,Just relax.
00:02:07,Milchick,Little vibration now.
00:02:47,Milchick,I’ll be upstairs after to let you know how it went.
00:02:51,Helly,Sorry if I freak out on you a little.
00:02:55,Milchick,Don’t worry. I’m very excited to meet you.
00:03:40,Milchick,"Hey, Helly."
00:03:42,Helly,"Woah, what’s happening?"
00:03:44,Milchick,Great to see you.
00:03:46,Milchick,Your orientation’s been so much fun.
00:03:51,Helly,"Uh, where am I?"
00:03:52,Milchick,"Okay, so sometimes when a new hire is adjusting to a severed space, we help by bringing them here to the stairwell, to experience the transition viscerally."
00:04:01,Helly,"Oh, no. I’m trying to leave?"
00:04:03,Milchick,"No, no. It’s all part of the process. If you wanna spin around and head back in, that should be that."
00:04:13,Milchick,"Hey, there."
00:04:17,Helly,"What the hell?
Milchick: That’s okay. Not a problem. Wanna give it another shot? Maybe with a little oomph?"
00:04:31,Milchick,"Hi. I’m at the stairwell. It’s going fair. No, she’s…"
00:04:39,Helly,Fuck!
00:04:41,Milchick,I’ma call you back.
00:04:45,Milchick,Wow. You’re an inquisitive one.
00:04:51,Helly,"I don’t wanna be in there, do I?"
00:04:52,Milchick,"You’re learning that you do. Hey, when we heard you were coming here, it was like a miracle. It’s amazing what you’re doing."
00:05:24,Milchick,"Hey, old-timer! One day down."
00:08:42,Helly,Hey.
00:08:44,Mark,Hey.
00:08:45,Helly,So it’s tomorrow now?
00:08:47,Mark,"Uh, yeah. Well, it’s Monday."
00:08:51,Helly,"A weekend just happened?
Mark: Yeah."
00:08:53,Helly,I don’t even feel like I left.
00:08:54,Mark,"Yeah, that’s how nights and weekends feel here."
00:08:58,Helly,Like nothing?
00:08:59,Mark,"Well, you get used to it. I mean, I find it helps to focus on the effects of sleep since we don’t actually get to experience it. You may feel rejuvenated or happy. Less tense in the shoulders. Spry."
00:09:14,Helly,So it’s 09:05?
00:09:16,Mark,"Yeah, they stagger the entries too so we don’t meet on the outside. It’s important apparently."
00:09:23,Helly,So I guess we’re not friends.
00:09:26,Mark,Guess not.
00:09:32,Dylan,My current file’s called “Tumwater”… which I started some 11 weeks back. “Tumwater.” All one word.
00:09:37,Helly,Should I be taking notes?
00:09:39,Mark,"No.
Dylan: I’ve got it 96% sorted, which means I’ve earned four of the five tier incentives, including the erasers and the finger traps that you see displayed here. 100% is tier five. That gets you a caricature portrait. You’ll note I’ve accrued an embarrassment of wealth in that regard."
