timestamp,speaker,text
00:00:13,Mark,Devon!
00:00:16,Helly,"No. Listen, we're not happy, we're miserable."
00:00:19,Irving,Burt!
00:00:21,Helly,They torture us down there!
00:00:21,Mark,Devon!
00:00:24,Helly,We're prisoners!
00:00:25,Irving,Burt!
00:00:27,Mark,She's alive!
00:00:35,Patton,Yeah. Okay.
00:00:35,Patton,Okay.
00:00:37,Devon,Mark? Here. Will you take her for a second?
00:00:39,Ricken,It's okay. I got her. Yeah.
00:00:39,Devon,Be careful with her.
00:00:41,Devon,Don't go far though.
00:00:41,Ricken,I won't.
00:00:44,Devon,Mark.
00:00:49,Devon,"So, this is you now?"
00:00:52,Mark,Yeah.
00:00:53,Devon,Are you okay?
00:00:54,Mark,Yeah.
00:00:56,Devon,Are you sure?
00:00:56,Mark,Yeah.
00:01:00,Devon,What's my name?
00:01:04,Mark,Persephone.
00:01:07,Devon,Can you spell that?
00:01:08,Mark,Never.
00:01:08,Devon,Okay.
00:01:11,Ricken,Babe…
00:01:12,Devon,Okay.
00:01:12,Ricken,…need help with this diaper.
00:01:15,Ricken,"Oh, boy."
00:01:16,Ricken,I think she wants mommy.
00:02:15,Jame,Fetid moppet.
00:02:21,Helly,Father.
00:02:33,Helly,We'll have someone from the floor liaise with the outies.
00:02:36,Drummond,We need to find out who they talked to. Promptly.
00:03:26,Helly,I need you to go see all of them.
00:03:28,Helly,Find out every word they said and who they said it to.
00:03:31,Milchick,And shall I fire them?
00:03:33,Helly,Let Kier guide your hand.
00:03:35,Milchick,Of course.
00:04:17,Helly,"Please, sit."
00:04:23,Helly,We've commandeered the footage taken by guests.
00:04:25,Helly,Natalie is already doing outreach to media.
00:04:28,Helly,And the severed employees who were involved are being dealt with.
00:04:42,Helly,Thank you for acting so quickly.
00:04:45,Helly,You saved us from disaster.
00:04:47,Cobel,Will Mr. Eagan be joining?
00:04:49,Helly,Just me.
00:04:53,Helly,I personally owe you a debt of gratitude.
00:04:58,Cobel,It cost me dearly.
00:05:02,Helly,It did.
00:05:05,Helly,"And still, you proved your loyalty tonight."
00:05:10,Helly,Which is why we'd like to ask you back.
00:05:22,Cobel,An apology is warranted.
00:05:33,Helly,I apologize.
00:05:37,Helly,My father apologizes.
00:05:41,Helly,The Board apologizes.
00:05:44,Helly,We've treated you poorly.
00:05:48,Helly,I'm sorry.
00:05:56,Cobel,I welcome your contrition.
00:06:01,Helly,I'm so glad.
00:06:06,Cobel,There's much damage to control.
00:06:10,Cobel,"I recommend we start by scouring the feed,"
00:06:13,Cobel,and I need to interview Dylan G. to see how he gained access to the–
00:06:17,Helly,We have something else in mind.
00:06:23,Helly,We'd like to offer you a promotion.
00:06:31,Helly,Severance Advisory Council.
00:06:44,Cobel,I never heard of such a thing.
00:06:48,Helly,It's a brand-new initiative. You'd be spearheading its formation.
00:06:53,Helly,Your expertise is greatly valued.
00:07:02,Cobel,Which is why I should be running the severed floor.
00:07:12,Helly,Mr. Milchick has been promoted to floor manager.
00:07:23,Cobel,You don't value me.
00:07:29,Cobel,You fear me.
00:07:34,Helly,We fear no one.
00:07:44,Helly,"And if we didn't hold you in such high esteem,"
00:07:46,Helly,we wouldn't be making this generous offer.
00:07:57,Cobel,I'll put some thought to it.
00:08:06,Helly,"Thank you for coming in, Harmony. Mr. Drummond will see you out."
00:08:12,Cobel,I don't need an escort.
00:08:44,Camera Woman,Ready?
00:08:54,Helly,"Earlier this evening,"
00:08:55,Helly,at an event where I was excited to share my status as a severed individual
00:08:59,Helly,"with a group of friends and allies,"
00:09:02,Helly,I made the poor decision to consume alcohol
00:09:04,Helly,while on a non-Lumon medication for an arm rash.
00:09:08,Helly,"This had an inebriating effect,"
00:09:10,Helly,which caused me to say some deeply regrettable things.
00:09:16,Irving,Mr. Milchick.
00:09:16,Milchick,Apologies for the hour.
00:09:19,Irving,Is everything all right?
00:09:21,Milchick,"How's your night been, Mr. Bailiff?"
00:09:25,Irving,Fine. They're showing Barber of Seville[1]on TV.
00:09:29,Irving,So I've just been here.
00:09:31,Milchick,Wonderful. And you're feeling well?
00:09:35,Irving,"Oh, God. What did I eat in there?"
00:09:39,Milchick,We just need to know if anything of note occurred.
00:09:43,Milchick,Anything at all.
00:09:46,Irving,"Why don't you tell me what's going on, Mr. Milchick?"
